Partlist										
										
Exported from CBB-Serial-r02.sch at 5/29/2016 3:23 PM										
										
EAGLE Version 7.6.0 Copyright (c) 1988-2016 CadSoft										
										
Assembly variant:										
										
Part	Value	Device	Package	Library	Sheet	Manufacturer	Manufacturer Part Number	Vendor	Vendor Part Number	Link
BB1	BBH2	BBH2	BB_CAPE_TOP	logic-supply	1					
C1	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C2	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C3	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C4	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C5	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C6	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C7	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C8	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C9	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C10	4.7uF	C-USC0805	C0805	rcl	1	Murata	GRM21BR61H475KE51L	Digi-Key	490-10751-1-ND	https://www.digikey.com/product-search/en/capacitors/ceramic-capacitors/131083?k=capacitor&k=&pkeyword=capacitor&s=5390&FV=fffc01ea%2C1c0002%2C380020%2C400006%2Cfff40002%2Cfff8000b%2C3400b0&mnonly=0&newproducts=0&ColumnSort=1000011&page=1&stock=1&quantity=0&ptm=0&fid=0&pageSize=25
C11	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C12	4.7uF	C-USC0805	C0805	rcl	1	Murata	GRM21BR61H475KE51L	Digi-Key	490-10751-1-ND	https://www.digikey.com/product-search/en/capacitors/ceramic-capacitors/131083?k=capacitor&k=&pkeyword=capacitor&s=5390&FV=fffc01ea%2C1c0002%2C380020%2C400006%2Cfff40002%2Cfff8000b%2C3400b0&mnonly=0&newproducts=0&ColumnSort=1000011&page=1&stock=1&quantity=0&ptm=0&fid=0&pageSize=25
C13	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C14	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C15	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
C16	0.1uF	C-USC0603	C0603	rcl	1	Murata	GRM188R71H104KA93D	Digi-Key	490-1519-1-ND	https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R71H104KA93D/490-1519-1-ND/587854
IC1	SN74AHC1G126DCK	SN74AHC1G126DCK	DCK-R-PDSO-G5	logic-supply	1	Texas Instruments	SN74AHC1G126DCKR	Digi-Key	296-8747-1-ND	https://www.digikey.com/product-search/en?keywords=296-8747-1-ND
IC2	SN74AHC1G126DCK	SN74AHC1G126DCK	DCK-R-PDSO-G5	logic-supply	1	Texas Instruments	SN74AHC1G126DCKR	Digi-Key	296-8747-1-ND	https://www.digikey.com/product-search/en?keywords=296-8747-1-ND
IC3	MAX3232CUE	MAX3232CUE	TSSOP16	logic-supply	1	Maxim	MAX3232EUE+	Digi-Key	MAX3232EUE+-ND	https://www.digikey.com/product-detail/en/maxim-integrated/MAX3232EUE-/MAX3232EUE--ND/1513085
